freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AT,REACH,TOTAL,NR,T,AT	9631 	10501 	8639 	8832 
A,AT,REACH,TOTAL,NR,T,BE	: 	: 	288 	234 
A,AT,REACH,TOTAL,NR,T,BG	151 	213 	149 	190 
A,AT,REACH,TOTAL,NR,T,CZ	119 	113 	96 	94 
A,AT,REACH,TOTAL,NR,T,DE	5632 e	5752 e	5660 e	5280 e
A,AT,REACH,TOTAL,NR,T,DK	151 	: 	: 	: 
A,AT,REACH,TOTAL,NR,T,EE	: 	33 	22 	27 
A,AT,REACH,TOTAL,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,TOTAL,NR,T,FI	57 	50 	51 	37 
A,AT,REACH,TOTAL,NR,T,FR	282 	279 p	293 p	504 p
A,AT,REACH,TOTAL,NR,T,HR	317 	306 	282 	276 
A,AT,REACH,TOTAL,NR,T,HU	969 	595 	285 	387 
A,AT,REACH,TOTAL,NR,T,IT	287 	371 	443 	369 
A,AT,REACH,TOTAL,NR,T,LT	10 	3 	5 	4 
A,AT,REACH,TOTAL,NR,T,LU	83 	80 	66 	66 
A,AT,REACH,TOTAL,NR,T,LV	12 	7 	0 	2 
A,AT,REACH,TOTAL,NR,T,NL	607 	588 	539 	523 
A,AT,REACH,TOTAL,NR,T,RO	158 	435 e	596 	298 
A,AT,REACH,TOTAL,NR,T,SE	220 	334 	254 	245 
A,AT,REACH,TOTAL,NR,T,SI	103 	79 	96 	92 
A,AT,REACH,TOTAL,NR,T,SK	58 	35 	25 	27 
A,AT,REACH,UNK,NR,T,AT	: 	: 	0 	: 
A,AT,REACH,UNK,NR,T,BE	: 	: 	0 	0 
A,AT,REACH,UNK,NR,T,BG	: 	: 	0 	0 
A,AT,REACH,UNK,NR,T,CZ	: 	: 	0 	0 
A,AT,REACH,UNK,NR,T,DE	0 	0 	0 	0 
A,AT,REACH,UNK,NR,T,DK	0 	: 	: 	: 
